"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 17 10:14:29 IST 2024","Sun Nov 17 10:14:29 IST 2024","20","Default Suite","projects","sampletest.HomePageaTest","sampletest.HomePageaTest","Varifytitle","Varifytitle",""
"passed","Mon Oct 28 21:47:41 IST 2024","Mon Oct 28 21:48:03 IST 2024","21856","Default suite","Default test","sampletest.Basic","sampletest.Basic","basic","sample test case",""
"failed","Wed Nov 06 13:29:15 IST 2024","Wed Nov 06 13:29:16 IST 2024","23","Default suite","Default test","utility.Extendreportclass","utility.Extendreportclass","failtest","failtest",""
"passed","Wed Nov 06 13:29:08 IST 2024","Wed Nov 06 13:29:09 IST 2024","312","Default suite","Default test","utility.Extendreportclass","utility.Extendreportclass","Varifylogo","Varifylogo",""
"passed","Sat Nov 02 13:06:33 IST 2024","Sat Nov 02 13:06:37 IST 2024","3547","Default suite","Default test","sampletest.HomePageaTest","sampletest.HomePageaTest","setup","sample test case",""
"skipped","Sun Nov 17 10:14:19 IST 2024","Sun Nov 17 10:14:19 IST 2024","2","Default Suite","projects","sampletest.basic3","sampletest.basic3","skiptest","skiptest",""
"failed","Sun Nov 17 10:13:52 IST 2024","Sun Nov 17 10:13:52 IST 2024","2","Default Suite","projects","sampletest.basic3","sampletest.basic3","failtest","failtest",""
"passed","Tue Oct 29 14:33:47 IST 2024","Tue Oct 29 14:33:47 IST 2024","287","Default suite","Default test","sampletest.HomePageaTest","sampletest.HomePageaTest","gettext","gettext",""
"passed","Sun Nov 17 10:14:37 IST 2024","Sun Nov 17 10:14:44 IST 2024","7039","Default Suite","projects","sampletest.HomePageaTest","sampletest.HomePageaTest","login","login",""
"passed","Sun Nov 17 10:13:46 IST 2024","Sun Nov 17 10:13:46 IST 2024","59","Default Suite","projects","sampletest.basic3","sampletest.basic3","Varifytitle","Varifytitle",""
"failed","Sun Nov 17 10:13:35 IST 2024","Sun Nov 17 10:13:35 IST 2024","58","Default Suite","projects","sampletest.Basic2","sampletest.Basic2","basic2","basic2",""
"broken","Sat Nov 02 15:09:24 IST 2024","Sat Nov 02 15:09:24 IST 2024","5","Default suite","Default test","utility.Extendreportclass","utility.Extendreportclass","setextentreport","setextentreport",""
"passed","Sun Nov 17 10:13:42 IST 2024","Sun Nov 17 10:13:42 IST 2024","241","Default Suite","projects","sampletest.basic3","sampletest.basic3","Varifylogo","Varifylogo",""
"passed","Mon Oct 28 23:20:44 IST 2024","Mon Oct 28 23:21:01 IST 2024","17054","Suite","Test","sampletest.Basic","sampletest.Basic","login","login",""
"broken","Sat Nov 02 13:04:08 IST 2024","Sat Nov 02 13:04:08 IST 2024","2","Default suite","Default test","sampletest.HomePageaTest","sampletest.HomePageaTest","teardown","teardown",""
"passed","Mon Oct 28 23:20:34 IST 2024","Mon Oct 28 23:20:44 IST 2024","10282","Suite","Test","sampletest.Basic","sampletest.Basic","setup","sample test case",""
"passed","Sun Nov 17 10:13:55 IST 2024","Sun Nov 17 10:14:13 IST 2024","17265","Default Suite","projects","sampletest.basic3","sampletest.basic3","login","login",""
"passed","Sun Nov 17 10:14:25 IST 2024","Sun Nov 17 10:14:25 IST 2024","442","Default Suite","projects","sampletest.HomePageaTest","sampletest.HomePageaTest","Varifylogo","Varifylogo",""
"skipped","Wed Nov 06 13:29:40 IST 2024","Wed Nov 06 13:29:40 IST 2024","5","Default suite","Default test","utility.Extendreportclass","utility.Extendreportclass","skiptest","skiptest",""
"passed","Wed Nov 06 13:29:18 IST 2024","Wed Nov 06 13:29:35 IST 2024","16868","Default suite","Default test","utility.Extendreportclass","utility.Extendreportclass","login","login",""
"passed","Wed Nov 06 13:29:13 IST 2024","Wed Nov 06 13:29:13 IST 2024","12","Default suite","Default test","utility.Extendreportclass","utility.Extendreportclass","Varifytitle","Varifytitle",""
"broken","Thu Nov 14 11:06:12 IST 2024","Thu Nov 14 11:06:12 IST 2024","1","Default suite","Default test","sampletest.basic3","sampletest.basic3","teardown","teardown",""
